0x100,1x99,2x98,3x97,4x96,5x95,6x94,7x93,8x92,9x91,10x90,11x89,12x88,13x87,14x86,15x85,16x84,17x83,18x82,19x81,20x80,21x79,22x78,23x77,24x76,25x75,26x74,27x73,28x72,29x71,30x70,31x69,32x68,33x67,34x66,35x65,36x64,37x63,38x62,39x61,40x60,41x59,42x58,43x57,44x56,45x55,46x54,47x53,48x52,49x51,50x50,51x49,52x48,53x47,54x46,55x45,56x44,57x43,58x42,59x41,60x40,61x39,62x38,63x37,64x36,65x35,66x34,67x33,68x32,69x31,70x30,71x29,72x28,73x27,74x26,75x25,76x24,77x23,78x22,79x21,80x20,81x19,82x18,83x17,84x16,85x15,86x14,87x13,88x12,89x11,90x10,91x9,92x8,93x7,94x6,95x5,96x4,97x3,98x2,99x1,100x0
-5.04,1.36,0.219,-0.04,-0.479,0.08,0.0,-0.16,1.419,-0.54,-0.86,0.62,-0.139,-0.5,0.2,0.24,0.16,0.839,-0.96,-0.16,0.3,-0.48,-0.12,-0.48,-0.36,0.04,-0.859,0.0,-0.359,0.16,-0.5,0.139,-0.019,-0.739,0.559,-0.839,-0.279,-0.08,0.16,0.12,0.219,-0.739,-0.5,-0.459,0.06,0.139,-0.94,-0.18,-0.6,0.179,0.5,0.599,-0.1,0.259,0.2,0.58,0.0,0.799,0.019,0.179,1.099,-0.379,0.16,-0.04,-0.659,0.7,0.059,-0.099,0.64,-0.66,0.239,0.48,-0.419,-1.06,0.339,-0.02,0.18,0.059,-0.819,0.219,-1.059,0.58,-0.719,-0.179,0.32,-0.059,0.419,0.199,0.1,-0.16,-0.12,-0.24,-0.059,1.18,0.06,-0.42,0.0,0.219,-0.5,-0.96,0.259
0.839,-0.16,-0.32,0.12,0.44,-0.299,1.039,-0.1,-0.66,0.68,-0.56,-0.019,0.3,-0.299,-0.6,0.62,-0.519,0.08,1.14,-0.22,-0.099,-1.339,0.64,-0.459,-0.019,0.96,-0.679,0.1,-0.2,0.12,-0.739,0.339,0.019,-0.58,0.159,-0.139,0.64,1.239,-0.9,-0.599,-1.24,-0.02,-0.32,0.219,1.34,0.28,0.28,-1.619,1.18,0.02,1.08,-0.339,-0.2,0.32,0.459,-1.079,-0.259,0.08,-0.419,-0.6,0.32,-0.24,0.859,0.36,-0.5,0.339,0.76,-0.339,-0.739,-0.62,-0.58,0.299,0.299,-0.62,-0.58,0.059,0.0,0.299,-0.339,-0.179,-0.3,0.299,-0.94,-0.32,0.919,-0.64,0.099,-0.639,0.359,0.68,0.219,0.12,-0.359,0.399,0.3,0.68,0.259,-0.559,-0.739,-0.04,0.139
-0.7,0.32,-0.9,0.62,0.56,0.019,-0.2,0.379,-0.2,-0.66,-0.04,-0.059,0.299,-0.08,0.639,0.0,-0.24,-0.28,0.24,-0.639,-0.24,-0.059,-0.559,0.36,0.02,-0.879,0.24,0.66,0.179,-0.1,-0.019,0.099,-0.52,-0.18,0.0,-0.4,0.279,0.56,0.819,0.359,1.14,0.04,-1.16,-0.019,0.4,0.2,-0.62,-0.04,0.379,0.119,0.66,0.24,-0.58,0.259,0.199,-0.719,-0.08,0.0,0.2,0.56,-0.98,0.68,-0.099,0.04,0.199,-0.199,-0.32,0.54,0.28,-0.38,-0.359,-0.32,-0.36,0.06,0.139,-0.859,-0.16,-0.36,0.299,0.339,-0.339,-0.219,-0.939,0.82,-0.38,-0.559,0.84,-0.58,0.1,0.08,-0.18,-0.259,0.059,-0.04,-0.839,0.0,0.94,-0.02,-0.04,0.24,-0.64
-0.44,0.04,0.2,0.42,-0.099,1.04,-0.359,1.06,0.279,-0.54,-0.24,-0.58,-1.659,-0.219,-1.119,0.339,0.54,0.379,0.74,1.019,-0.379,-0.439,-0.92,-0.76,0.58,-0.08,-0.62,0.019,1.36,-0.679,0.16,-0.62,-0.98,0.92,0.339,0.0,0.04,0.979,-0.64,0.0,-0.059,0.36,-0.02,-0.06,0.26,0.4,0.04,-1.56,-0.64,0.639,-0.58,-0.52,0.299,0.68,0.04,0.8,-0.38,0.34,-0.44,-0.659,0.219,-0.12,-1.12,-0.019,-0.58,-0.459,-0.18,0.299,-0.019,0.2,-0.059,-0.18,-0.94,-1.08,0.0,0.319,0.439,0.28,0.16,-0.02,0.459,0.139,0.9,-0.06,0.08,-0.139,0.1,0.76,0.38,0.6,-0.339,-0.379,0.94,-0.32,-0.419,0.719,0.28,0.059,-0.819,-0.96,0.059
0.259,-0.26,-0.059,0.359,-0.36,-0.9,-0.04,-0.379,-0.4,0.52,-0.6,0.14,-0.64,0.2,0.56,0.599,-0.62,0.339,-0.019,0.36,-0.68,-0.04,-3.12,0.66,-0.26,0.44,-0.82,-0.7,-0.32,-0.339,0.919,0.3,0.0,0.08,-0.879,0.639,-0.259,0.74,0.04,0.82,-0.1,0.74,1.24,0.399,-0.4,-0.12,0.4,-0.68,0.4,0.66,1.2,-0.54,0.3,0.62,-0.019,-0.559,0.719,-0.16,-0.04,-0.04,-0.94,0.399,-0.379,-0.299,0.459,-0.439,-0.58,-1.5,0.339,-0.02,-0.36,-0.8,0.36,0.019,-0.5,-0.26,-0.22,-0.299,-0.719,0.04,-0.78,0.66,0.24,-0.12,0.099,0.34,-1.159,-0.5,0.62,0.139,0.02,-0.02,-0.62,0.98,-0.879,-1.04,0.04,-0.04,0.219,0.12,0.22
0.16,0.099,0.419,0.12,-0.219,-0.56,0.319,0.26,0.24,-0.18,0.48,0.58,-0.86,-0.939,1.0,-0.28,-0.64,-0.16,-0.48,-0.5,0.179,-0.9,0.36,-0.359,0.58,0.5,-0.64,0.14,0.24,0.0,-0.04,0.24,-0.459,0.199,1.1,0.599,-0.78,0.3,-0.8,-0.16,-0.02,-0.219,-0.36,0.359,-0.04,0.94,0.16,-0.02,-0.08,0.36,-1.019,0.239,0.64,-0.419,-0.339,-0.64,-0.299,0.26,-0.059,-0.18,-0.04,-0.1,-0.339,-0.04,0.019,0.26,0.779,-0.14,-0.199,0.02,-1.0,-0.979,0.32,-0.919,0.059,0.56,0.0,0.12,0.2,-0.34,0.24,-0.32,-0.179,-0.019,0.92,-0.279,0.08,-0.339,-0.04,-0.44,0.54,0.24,-0.679,0.48,-0.639,-0.919,0.08,-0.12,0.4,-0.36,0.2
-0.4,0.28,-0.019,-0.359,-0.16,0.419,0.02,0.019,-1.06,-0.28,-0.699,0.459,-0.04,0.66,-0.3,-0.04,-0.299,-0.099,-0.54,0.219,1.0,-0.099,0.439,0.32,-0.48,0.86,-0.379,1.24,0.0,-0.28,-0.099,0.179,-0.099,-0.36,-0.62,-0.939,-0.439,0.259,0.639,-0.019,0.179,-0.68,0.079,-0.3,0.3,-0.4,0.119,-0.439,0.419,-0.34,0.24,0.38,-0.399,-0.7,0.719,-0.399,0.439,0.04,-0.52,0.259,-0.26,0.78,-0.04,0.36,0.02,-0.179,-0.36,0.04,-1.039,-0.08,-1.12,0.519,0.32,0.319,-0.62,0.0,-0.28,0.22,0.32,0.08,-0.08,0.76,0.259,0.439,0.56,0.52,-0.239,-0.759,0.96,-0.24,-0.419,0.36,0.28,-1.18,-0.64,-0.28,-0.5,0.66,-0.08,-0.04,-0.859
-0.78,-0.4,-0.6,-1.04,0.259,-0.08,0.319,-0.379,-0.019,-1.279,0.5,-0.32,0.12,-0.559,0.959,0.22,0.339,0.799,0.04,-0.4,0.42,-0.2,0.64,-0.34,0.08,0.56,0.719,-0.339,0.54,-0.66,0.359,-0.08,-0.04,0.66,0.24,0.36,0.28,0.679,-0.08,0.04,-0.359,0.359,-0.16,-0.879,-0.14,0.599,0.219,0.04,0.58,0.379,-0.7,-0.059,-0.52,-0.439,-0.54,0.679,0.36,0.359,-0.52,0.299,0.179,-0.24,0.719,0.02,0.08,-0.06,0.3,-0.08,0.04,-0.74,0.32,-0.3,-0.3,-0.019,0.439,-0.359,0.2,0.02,-1.279,0.26,-0.04,-1.04,-0.919,-1.019,-0.42,0.459,0.059,0.759,-0.7,-0.48,-0.52,0.56,0.779,0.219,-0.02,0.06,-0.12,0.16,0.08,-0.02,-0.2
-1.04,0.299,-0.779,-0.259,-0.32,0.4,-0.02,0.139,-0.919,0.34,0.38,0.34,-0.619,-0.9,-0.1,0.28,-0.439,-0.16,-0.98,0.179,-0.02,0.96,0.999,0.04,0.339,0.439,-1.24,0.599,0.06,0.26,0.16,0.32,0.16,-0.459,-0.72,-0.32,0.259,0.38,0.52,0.92,-0.32,0.719,0.62,-0.58,-0.08,-0.959,0.7,-0.32,0.74,-0.08,0.4,0.32,-0.54,0.68,-0.88,-0.04,0.08,-0.459,0.12,-0.66,-0.299,0.6,-0.019,-0.359,0.74,-0.639,0.699,-0.999,0.04,0.759,-0.3,0.06,-0.08,0.72,-0.419,-0.399,-0.66,-0.139,-0.26,0.62,-0.259,0.04,0.5,-0.06,0.14,0.259,-0.2,-0.18,-0.559,0.719,1.279,-0.439,-0.019,0.28,0.5,1.3,-0.019,0.739,0.139,-0.4,-0.099
0.8,0.059,0.639,0.16,-0.44,-0.28,0.22,-0.28,0.36,0.779,0.04,0.28,-0.32,0.06,-0.08,0.08,0.26,0.62,-0.819,-0.06,-0.2,-0.099,-1.56,-0.4,0.88,-0.26,-0.06,0.32,-0.199,-0.8,-0.66,0.719,-0.08,0.9,-0.059,-0.219,0.24,0.059,-0.24,1.04,0.5,-0.12,-0.419,-1.5,0.28,-0.179,-0.1,-0.219,-0.3,0.72,0.32,0.3,-0.419,0.099,-0.12,0.94,-0.599,-0.34,-0.94,-0.5,-0.2,-1.28,-0.26,-0.92,-0.4,0.3,-0.12,0.679,-0.62,0.2,-1.3,-0.26,-0.06,-1.04,-0.339,0.7,0.379,-0.379,0.98,-0.56,-0.54,0.019,1.14,-0.08,-0.62,-0.12,0.379,-0.92,-0.479,-0.6,0.16,0.08,-0.16,-0.359,-0.94,-0.2,0.24,0.74,0.64,0.119,0.5
